valid. perplexity,dropout 0.0,dropout 0.1,dropout 0.3,dropout 0.5,dropout 0.6,dropout 0.9
99,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
100,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
101,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
102,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
103,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
104,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
105,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
106,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
107,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
108,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
109,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
110,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
111,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
112,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
113,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
114,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
115,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
116,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
117,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
118,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
119,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
120,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
121,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
122,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
123,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
124,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
125,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
126,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
127,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
128,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
129,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
130,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
131,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
132,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
133,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
134,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
135,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
136,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
137,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
138,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
139,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
140,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
141,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
142,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
143,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
144,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
145,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
146,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
147,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
148,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
149,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
150,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
